iter	Logloss
0	0.6616251755
1	0.6330199678
2	0.606829073
3	0.5833781827
4	0.5615545863
5	0.5409210503
6	0.5239576365
7	0.5075698537
8	0.4926967846
9	0.4788733045
10	0.4663572553
11	0.4548893633
12	0.4450892047
13	0.4352825077
14	0.4265225494
15	0.4185244631
16	0.4115895335
17	0.4039260541
18	0.3973473993
19	0.3913983766
20	0.385575115
21	0.3802029192
22	0.375408827
23	0.3708396666
24	0.3671826117
25	0.3630467004
26	0.3588880437
27	0.3554479145
28	0.3523346633
29	0.3490805547
30	0.3455868103
31	0.3430229982
32	0.3410873442
33	0.3384377583
34	0.3367098319
35	0.3344204768
36	0.3323349176
37	0.3305616989
38	0.3289087985
39	0.3276208049
40	0.3266594225
41	0.3244827761
42	0.3228072389
43	0.3214067431
44	0.3204704668
45	0.3187334385
46	0.317482703
47	0.3152242925
48	0.3138341317
49	0.3124410863
50	0.3111981501
51	0.3103806172
52	0.3095095822
53	0.3084469362
54	0.3074706401
55	0.3066015757
56	0.3049270822
57	0.3043016063
58	0.3031088147
59	0.3018046023
60	0.3008610521
61	0.2999419414
62	0.2992527591
63	0.2984141308
64	0.2977166909
65	0.2973304608
66	0.2964332835
67	0.2958760751
68	0.2953255255
69	0.2946614271
70	0.2941092583
71	0.2933357074
72	0.2922479512
73	0.2917398145
74	0.2911694276
75	0.2906047596
76	0.2897982566
77	0.289328367
78	0.2882306604
79	0.2878227489
80	0.2866465426
81	0.2862496185
82	0.2858330699
83	0.2850889506
84	0.2847739598
85	0.2842580014
86	0.2838708521
87	0.2834396113
88	0.2825552466
89	0.2821266123
90	0.2816703881
91	0.2811827071
92	0.2809078831
93	0.2802454357
94	0.279929588
95	0.2794188141
96	0.2789970141
97	0.2780408751
98	0.2776335374
99	0.2771506233
100	0.2768138383
101	0.2763589994
102	0.2759713421
103	0.2755522478
104	0.2751027817
105	0.2748112625
106	0.2745745299
107	0.2740868512
108	0.2734173174
109	0.2729943628
110	0.272668203
111	0.2718268069
112	0.2714211647
113	0.2710455017
114	0.2708189049
115	0.2703718856
116	0.2700130833
117	0.2697670213
118	0.2694118532
119	0.2687678943
120	0.2682193588
121	0.267680476
122	0.2674861536
123	0.2670323332
124	0.2665154883
125	0.2658604347
126	0.2654321933
127	0.2649853015
128	0.2647694066
129	0.2644386068
130	0.2637615349
131	0.2635487523
132	0.2633540732
133	0.2626113372
134	0.2623877147
135	0.2621699612
136	0.2618054482
137	0.2612234023
138	0.2606496758
139	0.2603482264
140	0.2600903896
141	0.259824326
142	0.2594180777
143	0.258977412
144	0.2587704685
145	0.2583981766
146	0.2581060407
147	0.2576747932
148	0.2575110217
149	0.2573323938
150	0.257088399
151	0.256573544
152	0.2562532845
153	0.2556589076
154	0.2554598916
155	0.2551351017
156	0.254807591
157	0.254532715
158	0.2541968309
159	0.2538089101
160	0.2535800594
161	0.2534013386
162	0.2531525646
163	0.2526134329
164	0.2523380472
165	0.2521791417
166	0.2519536833
167	0.2516729137
168	0.2513242392
169	0.2511087164
170	0.2507146421
171	0.2504334517
172	0.2501617154
173	0.2497586246
174	0.2496147779
175	0.2494919357
176	0.2491689053
177	0.2489387969
178	0.2487021707
179	0.2484003163
180	0.2481601548
181	0.2479191308
182	0.2475820511
183	0.2471751035
184	0.2469132548
185	0.246626816
186	0.2462722206
187	0.2460110095
188	0.2457914844
189	0.2454048298
190	0.2451790052
191	0.2449402998
192	0.2447226029
193	0.2444210919
194	0.2441166729
195	0.2437434311
196	0.2435918946
197	0.2432042961
198	0.2430198734
199	0.2427940048
200	0.2426469631
201	0.2424452782
202	0.2421088713
203	0.2417943673
204	0.2415484825
205	0.2413515347
206	0.241157123
207	0.2409472445
208	0.2406274825
209	0.2404476812
210	0.2401638043
211	0.2399408497
212	0.239616856
213	0.2393962095
214	0.2391976983
215	0.2390956269
216	0.2387590003
217	0.2386552218
218	0.2385371261
219	0.2382789968
220	0.2381919194
221	0.2379281391
222	0.2378087773
223	0.2376537792
224	0.237329683
225	0.2371957434
226	0.2369711122
227	0.236678869
228	0.2364940018
229	0.2361307432
230	0.235986553
231	0.235768044
232	0.2355817214
233	0.2353184131
234	0.2351322134
235	0.2348900509
236	0.234587635
237	0.2343610716
238	0.2340589515
239	0.2338634713
240	0.2337435014
241	0.2334622266
242	0.2332501283
243	0.2330794037
244	0.2328443485
245	0.2326417171
246	0.2321722029
247	0.2320429996
248	0.2317129822
249	0.2314400521
250	0.2310849037
251	0.2309427028
252	0.2307353461
253	0.2304298223
254	0.2301679636
255	0.2299735979
256	0.2297528072
257	0.2294940797
258	0.2292206271
259	0.2289888451
260	0.2286980329
261	0.2284922229
262	0.2280947407
263	0.227896777
264	0.2277554057
265	0.2275964058
266	0.2274967204
267	0.227241872
268	0.2268343007
269	0.2266862904
270	0.2264809718
271	0.2263891695
272	0.2261809244
273	0.2258998628
274	0.2257448128
275	0.2253471451
276	0.2252059439
277	0.2250203724
278	0.2248176324
279	0.2245949696
280	0.2243751559
281	0.2241976408
282	0.2240490113
283	0.2238278547
284	0.2235833885
285	0.2233267537
286	0.2231474039
287	0.222887452
288	0.2227462566
289	0.2225818937
290	0.2224508404
291	0.2222833713
292	0.2220305798
293	0.2218628301
294	0.2216061829
295	0.2213955318
296	0.2212111921
297	0.2209596512
298	0.2207473934
299	0.220557069
300	0.2204302615
301	0.2202330975
302	0.2199956897
303	0.2197936023
304	0.2196479817
305	0.219494348
306	0.2192379689
307	0.2189920101
308	0.2187625493
309	0.2185794329
310	0.2184347338
311	0.2182070042
312	0.2179817267
313	0.2177395875
314	0.2176584315
315	0.2174766568
316	0.2171949081
317	0.216979013
318	0.216868124
319	0.2166039587
320	0.2164009033
321	0.2161342274
322	0.2159538244
323	0.2157572133
324	0.215544964
325	0.2154315052
326	0.2151700856
327	0.2149947514
328	0.214856884
329	0.214621395
330	0.2144182263
331	0.2142259312
332	0.2140494625
333	0.213890056
334	0.2136184181
335	0.2133613961
336	0.2131983743
337	0.2130499188
338	0.212860633
339	0.2127444854
340	0.2125877865
341	0.2123984008
342	0.2121636539
343	0.2120589132
344	0.2117952077
345	0.211626344
346	0.2113312552
347	0.2112234064
348	0.211065196
349	0.2108715103
350	0.2106853368
351	0.2105440229
352	0.2102933268
353	0.2100554766
354	0.2098482496
355	0.2096191963
356	0.2093539035
357	0.2090702356
358	0.2087315947
359	0.2083500618
360	0.2081032118
361	0.2080018172
362	0.207761738
363	0.2075426351
364	0.2071762952
365	0.2069907659
366	0.2068066378
367	0.2066053643
368	0.2064587295
369	0.2062615773
370	0.2060296687
371	0.2058504505
372	0.2056468421
373	0.2054924404
374	0.2052026734
375	0.2050678687
376	0.204888913
377	0.2046354475
378	0.2044327092
379	0.2042572766
380	0.2041061738
381	0.2039743436
382	0.2037933187
383	0.2036632734
384	0.203326818
385	0.2031637662
386	0.2030056559
387	0.2028683261
388	0.2025845748
389	0.2023731349
390	0.202163014
391	0.2018564754
392	0.2017123129
393	0.2013944457
394	0.2012468665
395	0.2010893532
396	0.2008900947
397	0.2007434862
398	0.2005390135
399	0.2003754252
400	0.2002481684
401	0.1999986774
402	0.1998343394
403	0.1996413346
404	0.1994309381
