iter	Passed	Remaining
0	6	6907
1	12	6205
2	18	5999
3	23	5806
4	28	5757
5	35	5849
6	40	5810
7	47	5831
8	53	5887
9	59	5907
10	66	5986
11	73	6018
12	79	6013
13	86	6118
14	93	6165
15	100	6183
16	107	6212
17	114	6230
18	121	6260
19	128	6293
20	135	6298
21	142	6334
22	150	6390
23	158	6440
24	165	6468
25	173	6507
26	181	6558
27	189	6592
28	197	6618
29	205	6647
30	214	6717
31	222	6742
32	231	6780
33	239	6796
34	247	6829
35	256	6860
36	264	6895
37	273	6922
38	282	6950
39	292	7021
40	302	7065
41	311	7105
42	320	7140
43	330	7183
44	339	7214
45	349	7249
46	358	7263
47	368	7305
48	380	7375
49	389	7403
50	400	7460
51	410	7485
52	421	7528
53	431	7552
54	441	7578
55	450	7601
56	461	7629
57	471	7665
58	482	7693
59	492	7712
60	503	7750
61	514	7787
62	525	7813
63	536	7846
64	548	7895
65	560	7931
66	573	7983
67	584	8015
68	596	8052
69	610	8107
70	622	8147
71	636	8198
72	651	8274
73	664	8312
74	681	8408
75	693	8437
76	708	8490
77	723	8554
78	736	8591
79	750	8630
80	764	8676
81	779	8727
82	790	8731
83	803	8760
84	818	8812
85	831	8838
86	844	8861
87	858	8893
88	871	8919
89	884	8944
90	898	8974
91	913	9014
92	926	9036
93	941	9072
94	954	9092
95	968	9120
96	984	9161
97	1000	9211
98	1015	9240
99	1031	9279
100	1044	9299
101	1060	9337
102	1074	9355
103	1089	9388
104	1103	9402
105	1119	9444
106	1135	9479
107	1152	9516
108	1167	9547
109	1183	9577
110	1202	9630
111	1221	9682
112	1239	9730
113	1256	9768
114	1274	9808
115	1290	9835
116	1307	9870
117	1322	9888
118	1338	9907
119	1353	9929
120	1367	9937
121	1384	9964
122	1398	9972
123	1412	9979
124	1428	9999
125	1442	10005
126	1456	10008
127	1470	10019
128	1484	10024
129	1496	10016
130	1510	10022
131	1525	10033
132	1538	10028
133	1551	10024
134	1565	10029
135	1580	10039
136	1592	10033
137	1607	10041
138	1624	10062
139	1641	10085
140	1657	10098
141	1674	10119
142	1689	10124
143	1705	10139
144	1719	10139
145	1734	10143
146	1747	10137
147	1763	10149
148	1776	10146
149	1790	10144
150	1802	10135
151	1824	10181
152	1839	10181
153	1852	10178
154	1866	10177
155	1881	10178
156	1893	10165
157	1907	10164
158	1921	10163
159	1932	10146
160	1944	10133
161	1956	10118
162	1970	10119
163	1983	10109
164	1996	10102
165	2007	10086
166	2020	10076
167	2032	10065
